# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.5-alpha3

adiamond.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
aemerald.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
agold.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
airon.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
alapis.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
anether.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
aredstone.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
autodiamond.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
autoemerald.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
autogold.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
autoiron.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
autokick.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
con.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
counter.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
czasbana, string, 8003323468
czaszka::amipopiyt, string, 8003C2A766
czaszka::filipek_yt, string, 8003C2A766
czaszka::marcolini1, string, 8003C2A766
czaszka::nieplacz, string, 8003E298A0
czaszka::rzanrzal, string, 8003C2A766
czaszki::nieplacz, long, 0000000000000578
detect_diamond_amount_mined_in_x_sec, long, 000000000000000D
detect_emerald_amount_mined_in_x_sec, long, 0000000000000007
detect_gold_amount_mined_in_x_sec, long, 0000000000000019
detect_iron_amount_mined_in_x_sec, long, 000000000000001E
diamond_amount_mined_in_x_sec, long, 0000000000000005
dm::hiddendisguise::<none>, long, 000000000000001C
dm::hiddenforall::<none>, boolean, 01
dm::hiddenid::<none>, offlineplayer, 82046E616D6520800A4D6172636F6C696E69310475756964800455554944820C6C6561737453696742697473048E9F27AA68876F6E0B6D6F737453696742697473046EBCC49F0F273810
dm::hiddenpsettings::alan23557::chatcolor, boolean, 01
dm::hiddenpsettings::alan23557::chatvisibility, string, 800446554C4C
dm::hiddenpsettings::alan23557::lang, string, 8005706C5F706C
dm::hiddenpsettings::alan23557::skin, integer, 0000007F
dm::hiddenpsettings::alan23557::view, integer, 0000000C
dm::hiddenpsettings::filipek_yt::chatcolor, boolean, 01
dm::hiddenpsettings::filipek_yt::chatvisibility, string, 800446554C4C
dm::hiddenpsettings::filipek_yt::lang, string, 8005656E5F7573
dm::hiddenpsettings::filipek_yt::skin, integer, 0000007F
dm::hiddenpsettings::filipek_yt::view, integer, 00000011
dm::hiddenpsettings::marcolini1::chatcolor, boolean, 01
dm::hiddenpsettings::marcolini1::chatvisibility, string, 800446554C4C
dm::hiddenpsettings::marcolini1::lang, string, 8005656E5F7573
dm::hiddenpsettings::marcolini1::skin, integer, 0000007F
dm::hiddenpsettings::marcolini1::view, integer, 0000000A
dm::hiddenuuid::<none>, string, 802436656263633439662D306632372D333831302D386539662D323761613638383736663665
dm::lastjoin::alan23557, date, 810974696D657374616D700400000175A2BC1762
dm::lastjoin::filipek_yt, date, 810974696D657374616D700400000175A3EEE2B6
dm::lastjoin::infernus, date, 810974696D657374616D700400000175A3DAC874
dm::lastjoin::lick, date, 810974696D657374616D700400000175A39BA189
dm::lastjoin::marcolini1, date, 810974696D657374616D700400000175A3EECFE4
dm::mcsubversion, long, 0000000000000003
dm::mcversion, long, 0000000000000010
dore._cyb3r_hunt3r_, long, 0000000000000000
dore.alexandro_ss, long, 0000000000000000
dore.blastii1337, long, 0000000000000000
dore.erick817, long, 0000000000000000
dore.ethicadd, long, 0000000000000000
dore.lewrok, long, 0000000000000000
dore.nieplacz, long, 0000000000000000
dore.posia, long, 0000000000000000
dore.rzanrzal, long, 0000000000000000
dore.thatguyouknow18, long, 0000000000000000
dore.vaarsuvious, long, 0000000000000000
dore.zak_sm, long, 0000000000000000
emerald_amount_mined_in_x_sec, long, 0000000000000003
eore._cyb3r_hunt3r_, long, 0000000000000000
eore.alexandro_ss, long, 0000000000000000
eore.blastii1337, long, 0000000000000000
eore.erick817, long, 0000000000000000
eore.ethicadd, long, 0000000000000000
eore.lewrok, long, 0000000000000000
eore.nieplacz, long, 0000000000000000
eore.posia, long, 0000000000000000
eore.rzanrzal, long, 0000000000000000
eore.thatguyouknow18, long, 0000000000000000
eore.vaarsuvious, long, 0000000000000000
eore.zak_sm, long, 0000000000000000
gold_amount_mined_in_x_sec, long, 000000000000000F
gore._cyb3r_hunt3r_, long, 0000000000000000
gore.alexandro_ss, long, 0000000000000000
gore.blastii1337, long, 0000000000000000
gore.erick817, long, 0000000000000000
gore.ethicadd, long, 0000000000000000
gore.lewrok, long, 0000000000000000
gore.nieplacz, long, 0000000000000000
gore.posia, long, 0000000000000000
gore.rzanrzal, long, 0000000000000000
gore.thatguyouknow18, long, 0000000000000000
gore.vaarsuvious, long, 0000000000000000
gore.zak_sm, long, 0000000000000000
gracz, offlineplayer, 82046E616D65000475756964800455554944820C6C6561737453696742697473049100952F0D6830E40B6D6F737453696742697473044A692A52200947BD
iore._cyb3r_hunt3r_, long, 0000000000000000
iore.alexandro_ss, long, 0000000000000000
iore.blastii1337, long, 0000000000000000
iore.erick817, long, 0000000000000000
iore.ethicadd, long, 0000000000000000
iore.lewrok, long, 0000000000000000
iore.nieplacz, long, 0000000000000000
iore.posia, long, 0000000000000000
iore.rzanrzal, long, 0000000000000000
iore.thatguyouknow18, long, 0000000000000000
iore.vaarsuvious, long, 0000000000000000
iore.zak_sm, long, 0000000000000000
iron_amount_mined_in_x_sec, long, 0000000000000014
lapis_amount_mined_in_x_sec, long, 000000000000000B
lore._cyb3r_hunt3r_, long, 0000000000000000
lore.alexandro_ss, long, 0000000000000000
lore.blastii1337, long, 0000000000000000
lore.erick817, long, 0000000000000000
lore.ethicadd, long, 0000000000000000
lore.lewrok, long, 0000000000000000
lore.nieplacz, long, 0000000000000000
lore.posia, long, 0000000000000000
lore.rzanrzal, long, 0000000000000000
lore.thatguyouknow18, long, 0000000000000000
lore.vaarsuvious, long, 0000000000000000
lore.zak_sm, long, 0000000000000000
nether_amount_mined_in_x_sec, long, 000000000000000F
obf.name, string, 8018C2A7385BC2A7654E6F7420416374697661746564C2A7385D
offdore::alexandro_ss, long, 0000000000000000
offdore::blastii1337, long, 0000000000000000
offdore::lewrok, long, 0000000000000000
offdore::nieplacz, long, 0000000000000000
offdore::rzanrzal, long, 0000000000000000
offdore._cyb3r_hunt3r_, long, 0000000000000000
offdore.alexandro_ss, long, 0000000000000000
offdore.blastii1337, long, 0000000000000000
offdore.erick817, long, 0000000000000000
offdore.ethicadd, long, 0000000000000000
offdore.lewrok, long, 0000000000000000
offdore.posia, long, 0000000000000000
offdore.thatguyouknow18, long, 0000000000000000
offdore.vaarsuvious, long, 0000000000000000
offdore.zak_sm, long, 0000000000000000
offeore::alexandro_ss, long, 0000000000000000
offeore::blastii1337, long, 0000000000000000
offeore::lewrok, long, 0000000000000000
offeore::nieplacz, long, 0000000000000000
offeore::rzanrzal, long, 0000000000000000
offeore._cyb3r_hunt3r_, long, 0000000000000000
offeore.alexandro_ss, long, 0000000000000000
offeore.blastii1337, long, 0000000000000000
offeore.erick817, long, 0000000000000000
offeore.ethicadd, long, 0000000000000000
offeore.lewrok, long, 0000000000000000
offeore.posia, long, 0000000000000000
offeore.thatguyouknow18, long, 0000000000000000
offeore.vaarsuvious, long, 0000000000000000
offeore.zak_sm, long, 0000000000000000
offgore::alexandro_ss, long, 0000000000000000
offgore::blastii1337, long, 0000000000000000
offgore::lewrok, long, 0000000000000000
offgore::nieplacz, long, 0000000000000000
offgore::rzanrzal, long, 0000000000000000
offgore._cyb3r_hunt3r_, long, 0000000000000000
offgore.alexandro_ss, long, 0000000000000000
offgore.blastii1337, long, 0000000000000000
offgore.erick817, long, 0000000000000000
offgore.ethicadd, long, 0000000000000000
offgore.lewrok, long, 0000000000000000
offgore.posia, long, 0000000000000000
offgore.thatguyouknow18, long, 0000000000000000
offgore.vaarsuvious, long, 0000000000000000
offgore.zak_sm, long, 0000000000000000
offiore::alexandro_ss, long, 0000000000000000
offiore::blastii1337, long, 0000000000000000
offiore::lewrok, long, 0000000000000000
offiore::nieplacz, long, 0000000000000000
offiore::rzanrzal, long, 0000000000000000
offiore._cyb3r_hunt3r_, long, 0000000000000000
offiore.alexandro_ss, long, 0000000000000000
offiore.blastii1337, long, 0000000000000000
